label	title
1	New Quilanga Municipal Conservation Area Preserves Water Sources and Biodiversity
0	Ecuador’s Zamora Chinchipe and Morona Santiago provinces accepted into  GCF, advancing Amazonian Platform
1	Critical Páramo Ecosystem Receives Highest Legal Protection in Ecuadorian Andes
1	New Water Protection Area safeguards water for Indigenous Guarancas Kichwa
1	Three Amazonian Provinces take the first step to create the largest biological corridor of continuous forest in Ecuador
1	An Expedition into the Aliwa Rainforest: Safeguarding the Biocultural Heritage of the Aliwa-Cupepe Indigenous Community
0	The Andwa: A Resurging Indigenous Nationality
1	Protecting Rare Bamboo Forests and Threatened Wildlife in Peru’s Amazon
1	A New Protected Area Secures Water Supplies for 39,000 People
0	A Conservation Area Receives Highest Level of Legal Protection in Ecuador
1	Three New Frog Species, Critical Water Sources & More Protected in El Guabo Municipal Conservation and Sustainable Use Area
1	A Roadmap to Hope: Ecuador Approves REDD+ Implementation Plan to Reduce Deforestation and Forest Degradation in Pastaza
0	Indigenous Shuar Gain Title to 14,000 Acres of Ancestral Territory
1	Protecting a Biological Hotspot from Mining
1	A New Conservation Area in South America’s “Grand Canyon”
0	Two New Water Protection Areas in Ecuador
0	A New Conservation Area in the Peruvian Andes
0	The Story of Chakishca: A Puma Cub Rescued in Ecuador
0	Serranía Incahuasi Natural Area: Protecting Bolivia’s Diverse & Threatened Habitat
0	Donor Impact Report: Spring 2021
1	New Map Identifies Areas of Water Importance in Ecuador
1	Expanding protected habitat for wildlife in the Peruvian Andes
0	Protecting intact habitat in the Tropical Andes
0	Same Impact, New Look
0	Your impact in 2020
0	Empowering the Kichwas of Napo
1	The First Water Protection Area in Southern Ecuador
1	Safeguarding Water Supplies for 500,000 People
1	Saving Habitat in Southern Ecuador
1	Connecting Ecosystems from the Andes to the Amazon
1	A Birder’s Paradise Protected in Peru
1	Nature and Culture’s YouTube Channel
0	Un-BEE-lievable news in Ecuador
1	CEO Statement on the Amazon Fires
1	Fighting deforestation in Bolivia
1	Saving Wildlife and Water Resources
0	Donor Impact Report: Nature’s Greatest Guardians
0	The first state reserve in Sinaloa, Mexico
1	Your generosity at work in the Amazon Rainforest
0	Spotted! Endangered tapir in Conservation Area
0	Your generosity at work in the Bolivian Chaco
